cluster_100,count,mean,std,min,25%,50%,75%,max,area_model,benchmark_1_2,benchmark_quarters,comparing_frac_gt_lt,counting_hops_for_division,counting_hops_not_ticks,deci_add_to_model,deci_break_tenths_hundredths,deci_building_tenths,deci_compare_no_models,deci_forgot_decimal_point,deci_hops_instead_ticks,deci_hundredths_vs_tenths,deci_incorrect_inequality,deci_placing_decimal_points,deci_point_location_correct,deci_tens_vs_tenths,deci_understanding_gt_lt,determine_the_frac_part,dragging_to_add,dragging_to_add_3_circles,equally_sized_parts,fraction_of_set,hops_vs_ticks,how_to_model,identifying_gt_lt,inequality_symbol,inverts_numerator_denominator,measuring_tools,misplaced_fraction_part_nline,mixed_number_quotient,mixed_numbers_on_number_line,modeled_incorrect_comparison,modeled_incorrect_numerator,modeling_fraction_division,modulo_ans,multiplication,multiplying_whole_by_proper,nline_as_whole,nline_restart_one,numerator_off_by_one_nline,only_tenths_entered,orange_tick,partially_drawn_parts,partitioning_number_line,recognizing_the_whole,simplify_with_common_denom,simplifying_answers_nline,simplifying_bars_2,simplifying_fractions,simplifying_mixed_numbers,simplifying_mixed_numbers_2,simplifying_subtraction,simplifying_with_bars,starting_from_0_nline,using_bars_in_division,using_correct_piece,wrong_number_parts
0,21728.0,0.7747465931272539,0.26400378012838893,0.0,0.7142857142857143,0.8181818181818182,1.0,1.0,16,0,0,0,36,6,113,255,46,156,274,2,244,1282,3,2,227,1425,0,32,8,1,222,220,287,556,0,1481,0,0,0,83,7,7,0,8,121,3,10,10,8,7,0,1,398,24,258,0,11,82,36,90,6,0,35,0,0,398
1,214.0,0.8583259160361966,0.1778920010187986,0.14285714285714285,0.7625,0.875,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,717.0,0.8313244519311467,0.21167417365292263,0.0,0.7777777777777778,0.8571428571428571,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2059.0,0.8343553308706296,0.2164760290901201,0.0,0.7777777777777778,0.8888888888888888,1.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
4,729.0,0.8166113569405751,0.21750339528011964,0.0,0.75,0.8571428571428571,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,14,1,0,0,0,29,29,0,0,0,0,1,1,0,0,1,0,0,0,0,0,30,0,0,0,0,19,0,6,5,0
5,1837.0,0.8225793395499438,0.2191766968167426,0.0,0.7777777777777778,0.875,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,645,0,0,2,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,21,0,0,0,1,8,4,0,0,0,0,0,0
6,576.0,0.8064860534912618,0.21221826967604782,0.0,0.75,0.8333333333333334,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,57,0,0,0,65,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,177,0,0,0,0,0,0,0
7,1431.0,0.8234936214495964,0.2122678488676086,0.0,0.75,0.8888888888888888,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,43,0,0,0,0,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,15,0,0,5,0
8,32.0,0.838575487012987,0.17547538495770224,0.14285714285714285,0.7944444444444445,0.8,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,184.0,0.8190864389233954,0.1652987326361749,0.0,0.75,0.8,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2868.0,0.7920493616100309,0.23678661410078858,0.0,0.7142857142857143,0.8333333333333334,1.0,1.0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,73,5,0,0,0,62,62,1,0,0,0,3,3,0,0,5,0,0,0,4,0,0,0,0,0,0,6,0,3,39,0
11,1292.0,0.7929534174116218,0.24136783313589538,0.0,0.7272727272727273,0.8571428571428571,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,146,0,1,6,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,42,4,0,0,6,3,2,4,0,0,0,0,0
12,2033.0,0.7297495899192898,0.2223807867371603,0.0,0.6,0.7777777777777778,0.8888888888888888,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,279.0,0.806595266541503,0.2277852394144297,0.0,0.7272727272727273,0.8333333333333334,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,19,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,1,1,0
14,5.0,0.6476190476190478,0.3041660842413583,0.3333333333333333,0.3333333333333333,0.7142857142857143,0.8571428571428571,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,621.0,0.8669721135904711,0.18160159678652768,0.0,0.8,0.8888888888888888,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,26,0,0,0,257,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0
16,412.0,0.8567331603132574,0.17971944987793448,0.14285714285714285,0.8,0.8888888888888888,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361,0,0,0,0,0,0,0,0,0,0,0,0,0,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1160.0,0.8527201199183958,0.19463261158442793,0.0,0.8,0.8888888888888888,1.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,27,0,0,0,0,527,0,0,1,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,5,0,0,0,0,27,3,24,0,0,0,0,0
18,2014.0,0.7726556600191159,0.21336018884777874,0.0,0.6666666666666666,0.8,0.9090909090909091,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,39.0,0.6869861619861621,0.30978950619925133,0.0,0.6306818181818181,0.7777777777777778,0.8888888888888888,1.0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1580.0,0.8418670657752936,0.20405178253363215,0.0,0.7777777777777778,0.8888888888888888,1.0,1.0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,28,0,0,0,0,4,4,0,0,0,0,2,2,0,0,0,0,0,0,0,0,28,0,0,0,0,23,0,3,5,0
21,1490.0,0.7919544754276299,0.2540860896177528,0.0,0.7272727272727273,0.8181818181818182,1.0,1.0,0,8,66,0,0,0,0,0,0,0,0,184,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,141,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,478.0,0.7340971731662108,0.2615382336253637,0.0,0.6666666666666666,0.8,0.8888888888888888,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,262,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,3,1,0,0,0,0,0,0
23,1063.0,0.7197577848095251,0.2716932949605993,0.0,0.5454545454545454,0.8,1.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,48,201,0,0,0,69,0,0,6,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,10,0,0,0,1,249,6,126,0,0,0,0,0
24,2113.0,0.7765282805746602,0.20527249522010574,0.0,0.6363636363636364,0.8,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,1,0,0,0,0,0,0,0
25,1247.0,0.8814557246193173,0.1478310496899294,0.0,0.8,0.8888888888888888,1.0,1.0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,521,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,19,0,0,0,0,0,0,0
26,3204.0,0.8590980137562536,0.19412083748777592,0.0,0.8,0.8888888888888888,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,483.0,0.8683901272410589,0.17603438725125428,0.0,0.8,0.8888888888888888,1.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
