,student_id,student_id,ntotal,nright,percent_correct
,len,nunique,sum,sum,
lesson,,,,,
add_benchmark_1,539,49,3508,2709,0.7722348916761688
add_estimate_uncommon_den_1,233,20,1970,1517,0.7700507614213198
add_mixed_1,105,14,701,602,0.8587731811697575
add_mixed_2,59,7,231,162,0.7012987012987013
add_symbol_1,109,14,716,529,0.7388268156424581
add_symbol_2,79,9,495,407,0.8222222222222222
add_symbol_3,111,11,638,490,0.768025078369906
add_uncommon_den_1,273,26,2108,1445,0.6854838709677419
add_uncommon_den_2,198,16,1371,1092,0.7964989059080962
add_uncommon_den_2_s1,15,2,81,39,0.48148148148148145
add_uncommon_den_3,113,15,713,556,0.7798036465638148
add_uncommon_den_4,104,15,698,616,0.8825214899713467
add_uncommon_den_5,80,10,539,502,0.9313543599257885
add_uncommon_den_6,77,10,482,401,0.8319502074688797
adv_ordering_1,1347,149,11741,10343,0.8809300740993101
adv_ordering_2,1304,126,10128,7745,0.7647116903633492
advanced_add_0,537,51,4259,3593,0.8436252641465133
advanced_add_1,430,40,3446,2460,0.7138711549622752
advanced_sub_0,333,33,2967,2184,0.7360970677451971
advanced_sub_1,303,15,2723,1675,0.6151303709144326
basic_add_1,868,57,7455,5297,0.7105298457411133
basic_add_2,349,41,2808,2562,0.9123931623931624
basic_add_3,614,34,4968,2646,0.532608695652174
basic_add_4,164,19,825,648,0.7854545454545454
basic_add_4_1,150,17,863,679,0.7867902665121669
basic_add_5,87,17,424,371,0.875
basic_add_5_1,89,15,465,362,0.7784946236559139
basic_ordering_1,2588,301,20135,16780,0.8333747206357089
basic_ordering_3,698,106,3624,3077,0.8490618101545254
basic_ordering_4,643,71,4871,4168,0.8556764524738246
basic_ordering_7,538,63,4076,3611,0.8859175662414132
basic_sub_1,88,14,543,520,0.9576427255985267
basic_sub_2,95,14,619,576,0.9305331179321487
basic_sub_3,129,14,898,769,0.856347438752784
basic_sub_5,127,12,879,725,0.8248009101251422
basic_sub_6,174,11,975,680,0.6974358974358974
benchmark_1,1371,160,8931,7133,0.7986787593774494
benchmark_2,1167,139,7839,6208,0.7919377471616278
benchmark_3,618,58,4692,3252,0.6930946291560103
deci_nline_1,375,42,3133,2772,0.8847749760612831
deci_nline_10,73,12,407,360,0.8845208845208845
